CoverageChangePercent,CoveredLinesChange,TotalLinesChange
29.421468611237483,2956,1
29.421468611237483,2956,1
29.421468611237483,2956,1
29.421468611237483,2956,1
29.421468611237483,2956,1
1.7493336385112634,177,2
1.5900243043081796,163,5
0.019890601690708554,2,0
0.0,0,0
0.0815101265859694,33,16
0.007792410192472565,3,0
1.2208109301540302,470,0
-0.0734353532003601,-31,0
-0.02621909813565887,5,183
0.07876403272696411,-30,-1500
0.48773052888279184,256,0
-0.12678744056259794,0,1665
2.15380943857765,1083,0
2.15380943857765,1083,0
0.0,0,0
10.649756932657576,18343,-32
10.649756932657576,18343,-32
10.649756932657576,18343,-32
0.001292587930967759,2,-2
0.05485781025842823,8,8
-0.0029741349398149097,-9,0
0.24359333607596456,993,273
0.16612302031419057,521,0
-0.0019131127939497894,-6,0
-0.00095407102105316,-3,0
0.3426862614184345,5902,4839
-0.38263399616057514,8137,10840
0.0003140254415723298,16,16
